experiment_date,experiment_start_time,w_1,w_2,size,initial_state,initial_0_norm,initial_taxi_norm,initial_inv_norm,num_states_explored,path_length,runtime
2025/08/30,13:56:49,1.0,1.0,4,2312718154561411139100,14,22,68,41,28,0 days 00:00:00.130551
2025/08/30,14:08:22,0.0,1.0,4,5124603891015117141312,11,14,56,639,96,0 days 00:00:26.970392
2025/08/30,14:08:49,1.0,1.0,4,5124603891015117141312,11,14,56,2500,-1,0 days 00:06:34.346653
2025/08/30,14:15:23,1.0,1.1,4,5124603891015117141312,11,14,56,2500,-1,0 days 00:06:32.522687
2025/08/30,14:24:16,0.0,1.0,4,5704923613101181411512,12,16,82,1123,104,0 days 00:01:25.071455
2025/08/30,14:30:54,0.0,1.0,4,0941221836714111351015,15,26,70,1552,140,0 days 00:02:41.231260
2025/08/30,14:33:35,0.0,1.0,4,6213957121514481301110,13,20,84,2500,-1,0 days 00:06:43.348722
2025/08/30,14:40:19,0.0,1.0,4,5138134211761012149150,12,20,68,1130,82,0 days 00:01:25.620079
2025/08/30,14:41:44,0.0,1.0,4,1110461437259813101512,13,20,78,2500,-1,0 days 00:06:48.582049
2025/08/30,14:48:33,0.0,1.0,4,5237101114146121315098,14,24,80,1731,192,0 days 00:03:13.210014
2025/08/30,14:51:46,0.0,1.0,4,2534161170131481015912,13,18,60,978,100,0 days 00:01:02.077077
2025/08/30,14:52:48,0.0,1.0,4,5410362181312015971411,15,24,76,467,68,0 days 00:00:15.012055
2025/08/30,14:53:03,0.0,1.0,4,1481261030111429135157,13,24,86,2500,-1,0 days 00:50:28.553639
2025/08/30,15:43:32,0.0,1.0,4,1672511104931215130148,12,18,68,1401,138,0 days 03:18:42.344720
2025/08/30,19:02:14,0.0,1.0,4,5174310214011158913612,15,22,72,1701,178,0 days 06:19:11.576751
